Handle,Country,Rating,agc031,agc032,agc033,agc034,agc035,agc036,agc037,agc038,agc039,agc040,agc041
tourist,BY,4111,13,45,100,40,100,29,36,100,60,100,W
ecnerwal,US,3745,8,75,45,,26,50,50,,100,45,75
Um_nik,RU,3794,,,60,50,36,75,75,40,26,24,60
ksun48,CA,3736,15,100,50,,,45,20,75,75,26,
Petr,RU,3726,29,50,26,100,50,,60,,45,2,13
apiad,CN,3852,26,60,7,24,60,40,100,45,,,
LHiC,RU,3671,60,6,75,36,2,7,29,32,24,36,32
mnbvmar,PL,3571,14,40,22,7,16,60,14,10,,,100
eatmore,RU,3427,100,13,13,45,29,5,,,,60,12
snuke,JP,3433,50,,10,,,100,13,,,,45
Benq,US,3401,,16,,,,,,36,40,75,50
newbiedmy,CN,3371,24,,,60,,,32,50,32,,
maroonrk,JP,3151,W,,32,W,24,W,40,W,,W,
scott_wu,US,3257,,,,,32,26,26,,12,22,18
Marcin,PL,3411,10,,,,40,,45,,,,40
yutaka1999,JP,3557,W,4,W,10,75,,W,,,,
yosupo,JP,3258,W,3,29,W,,,24,18,,6,14
hos_lyric,JP,3135,45,,11,,20,18,,,,18,
ainta,KR,3270,,29,,12,,15,,24,22,,7
Swistakk,PL,3208,,,4,29,22,22,,,29,,
koosaga,KR,3281,22,,36,13,,,,16,,16,
hbi1998,XX,3156,,,,,,,,60,36,,
lych_cys,CN,3199,,,16,75,,,,,,,
Egor,DE,3351,,15,,14,8,6,,,16,29,
wxh010910,CN,3406,,,20,18,45,,,,,,
kunyavskiy,RU,3186,40,,,,,,,29,,13,
Golovanov399,RU,3098,18,,,,,,,,50,,11
krijgertje,NL,3112,,12,,11,14,,7,,,5,29
semiexp,JP,3485,75,,,,,,,,,,
aid,RU,3067,12,26,24,,4,,8,,,,
Alex_2oo8,LV,3060,,,40,,18,,,,,11,
cz_xuyixuan,CN,3058,,,,32,,,5,7,,,24
Stonefeang,PL,3341,,22,,16,,,11,,,12,
mulgokizary,KR,3060,1,,,,,,22,20,,,15
chokudai,JP,3051,,14,,,W,36,,,,,
pashka,RU,3227,6,,,26,,,,,15,,5
antontrygubO_o,UA,2731,,,,,,,,,,50,
molamola,KR,3180,,,14,,12,20,,,,,
WA_TLE,JP,3055,,,9,9,,,,,,,26
Errichto,PL,3139,32,11,,,,,,,,,
progmatic,BY,2881,,,,,,11,,,,32,
lumibons,DE,2774,,,,,9,,15,,18,,
zhouyuyang,CN,3044,,,15,,,,10,,,,16
KAN,RU,3065,20,,,,,,,,20,,
gispzjz,CN,2987,,32,,,,,,,8,,
Anadi,PL,2680,,,,,,,,,,40,
tour1st,CN,2837,,5,,,,,,,13,,20
aitch,SE,3049,16,,,,,,,8,,14,
DEGwer,JP,3192,W,,2,,W,8,6,11,W,,
uwi,JP,2973,,24,,,,,,3,1,9,
SebinKim,KR,2646,,,,,,,,,,,36
cospleermusora,RU,3606,,36,,,,,,,,,
mmaxio,RU,2949,36,,,,,,,,,,
majk,CZ,2982,,,,22,13,,,,,,
nuip,JP,2858,,,,,,32,,,,,
mn3twe,CN,3156,,,,,,,,26,6,,
YashChandnani,IN,2818,,,,,,10,,,,20,
tempura0224,JP,2829,,,,,,,,22,2,,
DmitryGrigorev,RU,2857,,,,,,,9,15,,,
tozangezan,JP,2895,,,,,,24,,,,,
AndreySergunin,RU,2979,,,,,,14,,,,10,
LayCurse,JP,2658,,,,,,,,,,,22
Kostroma,RU,3065,,,18,,,,,,4,,
fizzydavid,CN,3062,,,8,,,13,,,,,
dotorya,KR,3319,,20,,,,,,,,,
izban,RU,2928,,,,20,,,,,,,
tlwpdus,KR,2918,,,,,15,,,5,,,
yokozuna57,JP,2941,9,1,,,,,,,9,,
Roundgod,CN,2640,,18,,,,,,,,,
catupper,JP,2804,,2,,,,16,,,,,
tfg,BR,2413,,,,,,,18,,,,
ariacas,RU,3093,5,,,4,7,,,,,,
VArtem,RU,2896,,,,,,,16,,,,
fjzzq2002,CN,3081,,,,15,,,,,,,
zscoder,MY,2870,,,,,,,,,,15,
ilyakor,CH,2945,7,,,,,,,,,7,
zjczzzjczjczzzjc,CN,2294,,,,,,,,14,,,
Arterm,BY,2909,,,,,,,,,14,,
mayaohua,CN,2562,,,,,,,,13,,,
natsugiri,JP,2813,,,,,,12,,,,,
newbie314159,CN,2329,,,,,,,,12,,,
supy,CN,2817,,,,,,,12,,,,
sevenkplus,CN,3145,,,12,,,,,,,,
gepardo,BY,2239,,,,,11,,,,,,
sigma425,JP,2962,,,,W,,,,,10,,
TadijaSebez,RS,2688,,,,,,,,,11,,
oneplusone,SG,2263,11,,,,,,,,,,
noshi91,JP,2721,,,,,,,,,,,10
qwerty787788,UA,2766,,10,,,,,,,,,
Huziwara,JP,2919,,,,,10,,,,,,
Namnamseo,KR,2594,,,,,,9,,,,,
voover,PL,2916,,9,,,,,,,,,
EntropyIncreaser,CN,2430,,,,,,,,9,,,
tatyam,JP,2573,,,,,,,,,,,9
zemen,RU,3095,,,,8,,,,,,,
Ping_Pong,RU,2660,,,,,,,,,,,8
roman_kolganov,NL,2039,,,,,,,,,,8,
ogino,JP,2194,,8,,,,,,,,,
yybyyb,CN,2533,,7,,,,,,,,,
maspy,JP,2510,,,,,,,,,7,,
imeimi2000,KR,2687,3,,,,,,,4,,,
Merkurev,RU,3141,2,,5,,,,,,,,
Aquarius,JP,2759,,,,,,,,,,,6
HellKitsune,RU,2950,,,,6,,,,,,,
nhho,HK,2504,,,,,,,,6,,,
rickytheta,JP,2807,,,,,6,,,,,,
andrey_efremov,RU,2699,,,,5,1,,,,,,
300iq,RU,2771,,,6,,,,,,,,
chocorusk,JP,2608,,,,,,,,,5,,
fangyoule,CN,2650,,,,,5,,,,,,
HeHere,CN,2496,,,,,,4,,,,,
nealchen,CN,2435,,,,,,,4,,,,
ivan100sic,RS,2674,,,,,,,,,,4,
dario2994,IT,2697,4,,,,,,,,,,
hank55663,TW,2588,,,,,,,,,,,4
mechanicalpenciI,JP,2596,,,,,,,,,3,,
sajninredoc,JP,2530,,,,,3,,,,,,
gasin,JP,2431,,,,,,,3,,,,
hitonanode,JP,2669,,,1,,,2,,,,,
iloveUtaha,TW,2805,,,,,,3,,,,,
Timur_Sitdikov,UZ,2733,,,,3,,,,,,,
xellos,SK,2861,,,,,,,,,,3,
cjy,CN,2302,,,,,,,,,,,3
sheyasutaka,JP,2588,,,3,,,,,,,,
Argentina_,CN,2132,,,,,,,,,,,2
BigBag,UA,2610,,,,2,,,,,,,
dreamoon,TW,2882,,,,,,,2,,,,
wifi,ID,2725,,,,,,,,2,,,
QAQAutoMaton,CN,2539,,,,,,,,,,,1
jtnydv25,IN,2558,,,,,,1,,,,,
khsoo01,KR,2781,,,,,,,1,,,,
amoo_safar,IR,2550,,,,,,,,1,,,
rahuldugar,IN,2353,,,,1,,,,,,,
TMJN,JP,2503,,,,,,,,,,1,
IH19980412,,0,W,,,,,,,,,,
sugim48,,0,,W,,,,,,,,,
hogloid,,0,W,,,,,,,,,,
camypaper,,0,,W,,,W,,,,,,